epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21250.1,1.70335,2.25068,1.50164,0.79406,0.66472,0.73036,0.4495,1.10238,1.29167,1.14034,0.00901,0.00901,0.00901
43,21700.2,1.72651,2.32033,1.51952,0.7913,0.66569,0.73161,0.45033,1.0999,1.28743,1.13856,0.00898585,0.00898585,0.00898585
44,22150,1.72408,2.2895,1.49548,0.78944,0.66764,0.73029,0.45154,1.09827,1.28301,1.13764,0.00896171,0.00896171,0.00896171
45,22601.7,1.68858,2.22948,1.48906,0.79292,0.66958,0.73097,0.45225,1.09585,1.27739,1.13645,0.00893756,0.00893756,0.00893756
46,23054,1.69193,2.23922,1.49455,0.78958,0.67099,0.73154,0.45294,1.09311,1.27322,1.13434,0.00891341,0.00891341,0.00891341
47,585.936,1.63604,2.23525,1.45335,0.79021,0.67444,0.73378,0.45434,1.09314,1.26937,1.13455,0.00888927,0.00888927,0.00888927
48,1168.65,1.6936,2.2923,1.48347,0.78779,0.67736,0.73498,0.45616,1.0906,1.26944,1.13374,0.00886512,0.00886512,0.00886512
49,1747.01,1.71691,2.2696,1.49209,0.78933,0.67727,0.73521,0.45584,1.09172,1.2692,1.1338,0.00884098,0.00884098,0.00884098
50,2327.14,1.66515,2.24254,1.4801,0.78746,0.67736,0.73531,0.4565,1.09071,1.26897,1.13336,0.00881683,0.00881683,0.00881683
51,2908.5,1.69417,2.24227,1.4854,0.78762,0.67833,0.73573,0.45642,1.09096,1.26745,1.13287,0.00879268,0.00879268,0.00879268
52,3482.81,1.7065,2.3328,1.50418,0.78557,0.67541,0.73526,0.4554,1.08981,1.26504,1.13215,0.00876854,0.00876854,0.00876854
53,4063.72,1.72153,2.27786,1.49417,0.78417,0.67736,0.73604,0.45548,1.0884,1.26297,1.1317,0.00874439,0.00874439,0.00874439
54,4644.05,1.69363,2.23022,1.48679,0.78777,0.67736,0.73841,0.45734,1.08715,1.26074,1.13039,0.00872024,0.00872024,0.00872024
55,5225.14,1.71342,2.27787,1.50297,0.78999,0.67833,0.73952,0.45834,1.08554,1.25854,1.1293,0.0086961,0.0086961,0.0086961
56,5805.78,1.69015,2.24734,1.48148,0.79369,0.68045,0.74095,0.45931,1.08562,1.25614,1.12989,0.00867195,0.00867195,0.00867195
57,6383.42,1.68455,2.18904,1.48883,0.79197,0.67706,0.73931,0.45763,1.08528,1.25397,1.12948,0.0086478,0.0086478,0.0086478
58,6957.74,1.67832,2.17374,1.48458,0.79539,0.67153,0.74012,0.45854,1.08467,1.2554,1.12901,0.00862366,0.00862366,0.00862366
59,7533.74,1.68516,2.23722,1.4807,0.78921,0.67676,0.73945,0.45784,1.08349,1.25401,1.12838,0.00859951,0.00859951,0.00859951
60,8108.77,1.66182,2.15306,1.46163,0.78564,0.6803,0.73991,0.45906,1.08239,1.25339,1.12774,0.00857537,0.00857537,0.00857537
61,8690.88,1.69865,2.22607,1.48649,0.78621,0.68262,0.74298,0.46051,1.08153,1.2502,1.1266,0.00855122,0.00855122,0.00855122
62,9273.3,1.70728,2.24645,1.51214,0.7881,0.68312,0.74411,0.46078,1.07904,1.24751,1.1253,0.00852707,0.00852707,0.00852707
63,9849.4,1.6672,2.17982,1.46843,0.7914,0.68513,0.74578,0.4613,1.07738,1.24422,1.12385,0.00850293,0.00850293,0.00850293
64,10430.4,1.68371,2.2056,1.48557,0.78353,0.68707,0.7458,0.461,1.07709,1.2425,1.1237,0.00847878,0.00847878,0.00847878
65,11012.2,1.66491,2.20465,1.46847,0.78373,0.69096,0.7506,0.46264,1.07713,1.2374,1.12371,0.00845463,0.00845463,0.00845463
66,784.344,1.58715,2.09181,1.42682,0.78458,0.69193,0.75087,0.46266,1.07718,1.23708,1.12371,0.00843049,0.00843049,0.00843049
67,1671.76,1.64438,2.16079,1.45519,0.78942,0.69291,0.75227,0.46365,1.0762,1.23559,1.12328,0.00840634,0.00840634,0.00840634
68,2558.64,1.67197,2.15115,1.46889,0.78648,0.69193,0.75049,0.465,1.07582,1.23205,1.1221,0.0083822,0.0083822,0.0083822
69,3442.62,1.63405,2.12855,1.46156,0.78801,0.69388,0.75335,0.46626,1.07565,1.23088,1.12195,0.00835805,0.00835805,0.00835805
70,4330.43,1.65635,2.15139,1.45965,0.77881,0.70068,0.75536,0.46759,1.0756,1.22967,1.12181,0.0083339,0.0083339,0.0083339
71,5216.62,1.67446,2.25319,1.47465,0.78744,0.69388,0.75448,0.46848,1.07421,1.22928,1.12082,0.00830976,0.00830976,0.00830976
72,6104.98,1.69281,2.19807,1.47349,0.79061,0.69352,0.75592,0.46906,1.0742,1.22591,1.12069,0.00828561,0.00828561,0.00828561
73,6994.05,1.67259,2.14929,1.47248,0.77718,0.70457,0.75997,0.4693,1.07432,1.22568,1.12037,0.00826146,0.00826146,0.00826146
74,7883.31,1.68364,2.19529,1.48285,0.77953,0.70439,0.76068,0.4695,1.07305,1.22518,1.11976,0.00823732,0.00823732,0.00823732
75,8764.82,1.65774,2.17242,1.45527,0.77726,0.70262,0.75877,0.46967,1.07303,1.22503,1.11927,0.00821317,0.00821317,0.00821317
76,9651.46,1.66583,2.15553,1.47149,0.77684,0.70457,0.75956,0.46947,1.07194,1.22522,1.11815,0.00818902,0.00818902,0.00818902
