epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9599.62,1.56697,1.72223,1.67664,0.818,0.77385,0.81938,0.51625,1.30312,0.95624,1.60479,0.008614,0.008614,0.008614
44,9826.34,1.59565,1.74362,1.69181,0.79536,0.78626,0.82141,0.525,1.2916,0.94447,1.58459,0.008581,0.008581,0.008581
45,10057.3,1.59199,1.77759,1.6977,0.81455,0.77481,0.82296,0.52332,1.29091,0.95706,1.5856,0.008548,0.008548,0.008548
46,10290.4,1.59844,1.75401,1.7084,0.81525,0.7834,0.82507,0.52343,1.29109,0.95163,1.58383,0.008515,0.008515,0.008515
47,10529.3,1.59313,1.76859,1.70984,0.82399,0.78053,0.82562,0.52398,1.28793,0.95351,1.5879,0.008482,0.008482,0.008482
48,10757.7,1.59583,1.72402,1.68568,0.8382,0.76618,0.82767,0.53002,1.29151,0.93733,1.58716,0.008449,0.008449,0.008449
49,10992.7,1.59246,1.74218,1.68811,0.84743,0.7605,0.82939,0.52925,1.2877,0.92992,1.58319,0.008416,0.008416,0.008416
50,11217.8,1.57247,1.74051,1.66541,0.84044,0.7729,0.83318,0.53183,1.28098,0.91805,1.57761,0.008383,0.008383,0.008383
51,11467.7,1.57169,1.72685,1.68201,0.84025,0.77385,0.83972,0.53631,1.27654,0.90942,1.58308,0.00835,0.00835,0.00835
52,11703,1.58147,1.70003,1.68539,0.83139,0.78435,0.83971,0.53881,1.2761,0.90098,1.58236,0.008317,0.008317,0.008317
53,11928.4,1.57772,1.6936,1.69548,0.81497,0.79103,0.8433,0.53882,1.2764,0.89403,1.58303,0.008284,0.008284,0.008284
54,12148.3,1.57737,1.69519,1.6875,0.83449,0.77576,0.84409,0.54436,1.27009,0.88384,1.57063,0.008251,0.008251,0.008251
55,12363,1.57491,1.69558,1.68011,0.83642,0.7729,0.83811,0.54025,1.26254,0.88201,1.56982,0.008218,0.008218,0.008218
56,12595.9,1.55962,1.67915,1.68136,0.82929,0.78149,0.83756,0.54105,1.25508,0.87806,1.56357,0.008185,0.008185,0.008185
57,12829.8,1.5818,1.71234,1.70146,0.83144,0.77385,0.8369,0.54039,1.25057,0.88682,1.55884,0.008152,0.008152,0.008152
58,13056.1,1.56676,1.7196,1.67817,0.8156,0.79485,0.83716,0.54271,1.25056,0.88522,1.55605,0.008119,0.008119,0.008119
59,13295.2,1.5715,1.69683,1.68835,0.82058,0.79389,0.83164,0.54122,1.24889,0.88505,1.55503,0.008086,0.008086,0.008086
60,13521.5,1.57394,1.70155,1.6854,0.82104,0.78912,0.83413,0.5423,1.24963,0.88261,1.55358,0.008053,0.008053,0.008053
61,13743.7,1.56044,1.65562,1.6767,0.81915,0.79091,0.83506,0.54386,1.24905,0.87532,1.55137,0.00802,0.00802,0.00802
62,13967.6,1.55166,1.64298,1.66809,0.82219,0.78976,0.83708,0.54592,1.24799,0.87225,1.55251,0.007987,0.007987,0.007987
63,14190.2,1.54373,1.62245,1.67031,0.82304,0.78721,0.83742,0.54692,1.24224,0.86572,1.54789,0.007954,0.007954,0.007954
64,14411.1,1.55752,1.65211,1.66466,0.84197,0.78293,0.84223,0.5485,1.23864,0.86181,1.543,0.007921,0.007921,0.007921
65,14628.6,1.56221,1.65896,1.66702,0.84447,0.7927,0.84694,0.5493,1.23662,0.85779,1.53901,0.007888,0.007888,0.007888
