epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3541.65,1.43781,1.0136,1.26146,0.82704,0.78625,0.83395,0.57054,1.341,0.83364,1.21372,0.00878108,0.00878108,0.00878108
43,3625.44,1.43153,0.99743,1.25436,0.84395,0.79223,0.84357,0.57423,1.3339,0.82892,1.21615,0.00875135,0.00875135,0.00875135
44,3709.78,1.4343,0.99444,1.25956,0.84647,0.76233,0.82766,0.56875,1.33618,0.81868,1.21416,0.00872162,0.00872162,0.00872162
45,3794.03,1.43828,1.00386,1.2642,0.84446,0.74664,0.81914,0.55916,1.36844,0.84941,1.23755,0.00869189,0.00869189,0.00869189
46,3877.51,1.43408,0.99524,1.255,0.84102,0.76308,0.82891,0.57191,1.31924,0.83168,1.20908,0.00866216,0.00866216,0.00866216
47,3961.81,1.41572,0.98022,1.24064,0.81414,0.76607,0.82335,0.5657,1.3704,0.83911,1.22286,0.00863243,0.00863243,0.00863243
48,4046.03,1.42465,0.98451,1.24537,0.85534,0.76009,0.83632,0.56974,1.354,0.82259,1.21787,0.0086027,0.0086027,0.0086027
49,4130.12,1.40295,0.96583,1.23024,0.84198,0.76457,0.83246,0.56558,1.35496,0.81086,1.20253,0.00857297,0.00857297,0.00857297
50,4214.27,1.43169,0.99662,1.2484,0.84628,0.77354,0.83692,0.57309,1.32461,0.81174,1.19722,0.00854324,0.00854324,0.00854324
51,4298.15,1.38808,0.95159,1.22599,0.84784,0.77877,0.84445,0.58704,1.31312,0.79087,1.20298,0.00851351,0.00851351,0.00851351
52,4382.6,1.40625,0.97192,1.22949,0.84846,0.78251,0.84096,0.57781,1.33316,0.79806,1.20255,0.00848378,0.00848378,0.00848378
53,4467.13,1.39061,0.95724,1.23044,0.83852,0.76457,0.82764,0.58124,1.32556,0.78694,1.20203,0.00845405,0.00845405,0.00845405
54,4550.79,1.40405,0.95459,1.23567,0.83838,0.787,0.83891,0.58128,1.3217,0.78622,1.1988,0.00842432,0.00842432,0.00842432
55,4635.08,1.3714,0.93027,1.21307,0.80974,0.79522,0.8432,0.58525,1.32006,0.80469,1.19306,0.00839459,0.00839459,0.00839459
56,4718.7,1.3813,0.94905,1.21679,0.81589,0.79821,0.83995,0.57778,1.3127,0.78056,1.20461,0.00836486,0.00836486,0.00836486
57,4802.46,1.38597,0.94167,1.22753,0.83763,0.80194,0.85104,0.58758,1.29507,0.76791,1.185,0.00833514,0.00833514,0.00833514
58,4886.11,1.39184,0.94856,1.21675,0.84083,0.78566,0.84825,0.58545,1.30289,0.77661,1.18098,0.00830541,0.00830541,0.00830541
59,4969.94,1.37861,0.92523,1.22102,0.84092,0.78924,0.84928,0.59067,1.28301,0.76867,1.17813,0.00827568,0.00827568,0.00827568
60,5054.17,1.37114,0.92629,1.21844,0.85773,0.77504,0.84514,0.59523,1.28847,0.78004,1.17797,0.00824595,0.00824595,0.00824595
61,5138.22,1.37081,0.93479,1.21848,0.8436,0.79821,0.85139,0.59122,1.3008,0.76278,1.19608,0.00821622,0.00821622,0.00821622
62,5222.06,1.38088,0.94231,1.22507,0.85167,0.78102,0.84616,0.59158,1.29448,0.77801,1.17975,0.00818649,0.00818649,0.00818649
63,5305.63,1.38241,0.93707,1.22461,0.8322,0.82287,0.86218,0.58696,1.31095,0.77812,1.19768,0.00815676,0.00815676,0.00815676
64,5389.35,1.3832,0.92763,1.21199,0.83384,0.8139,0.85655,0.59473,1.28664,0.76783,1.18381,0.00812703,0.00812703,0.00812703
65,5473.1,1.36631,0.92578,1.20395,0.80365,0.80942,0.84998,0.58888,1.30457,0.77853,1.18669,0.0080973,0.0080973,0.0080973
66,5557.32,1.35461,0.90725,1.20204,0.8513,0.80867,0.86133,0.59804,1.29405,0.74288,1.18316,0.00806757,0.00806757,0.00806757
67,5641.31,1.35841,0.90592,1.20633,0.82919,0.79821,0.84889,0.60279,1.28227,0.75115,1.18329,0.00803784,0.00803784,0.00803784
68,5725.28,1.37968,0.92298,1.21507,0.83463,0.7997,0.85292,0.59299,1.29237,0.77486,1.18613,0.00800811,0.00800811,0.00800811
69,5809.05,1.34646,0.9086,1.19889,0.83849,0.81091,0.85966,0.59759,1.28859,0.75506,1.1918,0.00797838,0.00797838,0.00797838
70,5892.93,1.32956,0.86485,1.18956,0.82925,0.80942,0.85858,0.60661,1.2678,0.74511,1.17105,0.00794865,0.00794865,0.00794865
71,5977.17,1.34981,0.9074,1.20235,0.85994,0.82138,0.87213,0.61022,1.26866,0.72106,1.17319,0.00791892,0.00791892,0.00791892
72,6061.56,1.35749,0.90296,1.20386,0.85579,0.81166,0.86693,0.60766,1.27678,0.71144,1.1775,0.00788919,0.00788919,0.00788919
73,6145.35,1.32429,0.87893,1.19032,0.85179,0.8118,0.8654,0.59965,1.30579,0.72192,1.19519,0.00785946,0.00785946,0.00785946
74,6229.7,1.3442,0.8771,1.19675,0.83894,0.80194,0.85483,0.60089,1.26812,0.72573,1.16961,0.00782973,0.00782973,0.00782973
75,6313.76,1.33486,0.8833,1.19798,0.8517,0.80269,0.85954,0.60833,1.26981,0.72003,1.17274,0.0078,0.0078,0.0078
76,6397.89,1.33089,0.87796,1.18359,0.84926,0.79583,0.85764,0.59986,1.27098,0.72802,1.17114,0.00777027,0.00777027,0.00777027
77,6482.33,1.31762,0.87285,1.18043,0.83836,0.79821,0.85573,0.59745,1.28996,0.74054,1.17869,0.00774054,0.00774054,0.00774054
78,6566.33,1.33175,0.889,1.19192,0.85164,0.80792,0.86306,0.60276,1.28516,0.73547,1.17816,0.00771081,0.00771081,0.00771081
79,6650.39,1.32013,0.87061,1.19508,0.85078,0.83093,0.87396,0.60846,1.2747,0.72947,1.17705,0.00768108,0.00768108,0.00768108
80,6734.36,1.32187,0.87514,1.19734,0.85012,0.82661,0.86945,0.60961,1.2618,0.71742,1.17113,0.00765135,0.00765135,0.00765135
81,6818.03,1.31852,0.86353,1.19274,0.86551,0.80643,0.86747,0.60812,1.25917,0.71105,1.16848,0.00762162,0.00762162,0.00762162
82,6902.42,1.32722,0.85677,1.18442,0.84963,0.81922,0.86849,0.61235,1.25571,0.70729,1.16686,0.00759189,0.00759189,0.00759189
83,6986.41,1.31151,0.85697,1.1888,0.83988,0.82362,0.8672,0.6121,1.26925,0.71121,1.16579,0.00756216,0.00756216,0.00756216
84,7070.86,1.32238,0.86903,1.18057,0.84685,0.83483,0.87251,0.60977,1.26431,0.71686,1.16169,0.00753243,0.00753243,0.00753243
85,7155.39,1.30736,0.86155,1.17124,0.85098,0.81091,0.86282,0.60847,1.26206,0.72008,1.16774,0.0075027,0.0075027,0.0075027
86,7239.29,1.31889,0.8718,1.18017,0.83999,0.81608,0.86767,0.61196,1.25283,0.72163,1.15773,0.00747297,0.00747297,0.00747297
87,7323.44,1.30055,0.85562,1.17302,0.84087,0.83333,0.87141,0.61297,1.26553,0.71188,1.16466,0.00744324,0.00744324,0.00744324
88,7407.83,1.32201,0.86794,1.18157,0.8578,0.83408,0.87341,0.61848,1.24965,0.69807,1.15792,0.00741351,0.00741351,0.00741351
89,7491.77,1.30892,0.8493,1.17683,0.84693,0.80942,0.86351,0.60962,1.26622,0.70969,1.16408,0.00738378,0.00738378,0.00738378
90,7575.59,1.29163,0.85336,1.17198,0.84527,0.82885,0.86683,0.61702,1.24078,0.6846,1.15129,0.00735405,0.00735405,0.00735405
91,7659.62,1.31045,0.85562,1.17505,0.84099,0.82661,0.86694,0.60927,1.25642,0.70944,1.15933,0.00732432,0.00732432,0.00732432
92,7744.04,1.30786,0.84486,1.17937,0.84311,0.82735,0.87171,0.61085,1.2506,0.69859,1.15173,0.00729459,0.00729459,0.00729459
93,7828.23,1.29378,0.83882,1.16632,0.84791,0.83333,0.87401,0.61911,1.23927,0.69131,1.15194,0.00726486,0.00726486,0.00726486
94,7912.54,1.29825,0.84674,1.17191,0.85573,0.83782,0.87634,0.62236,1.2239,0.69051,1.14648,0.00723514,0.00723514,0.00723514
95,7996.61,1.28871,0.84072,1.17104,0.85059,0.84454,0.87549,0.61363,1.22989,0.687,1.1536,0.00720541,0.00720541,0.00720541
96,8080.86,1.27733,0.82844,1.16054,0.8497,0.84081,0.87456,0.61587,1.2454,0.68855,1.15382,0.00717568,0.00717568,0.00717568
97,8164.47,1.29175,0.8329,1.17342,0.86271,0.83594,0.88234,0.62421,1.22947,0.68285,1.14977,0.00714595,0.00714595,0.00714595
98,8248.82,1.29758,0.83936,1.16496,0.85929,0.82154,0.87471,0.62257,1.23627,0.68406,1.15044,0.00711622,0.00711622,0.00711622
99,8332.98,1.28432,0.82731,1.17034,0.84135,0.83632,0.87255,0.62032,1.24501,0.69812,1.15408,0.00708649,0.00708649,0.00708649
100,8417.18,1.29016,0.83508,1.17502,0.84515,0.81988,0.86701,0.6189,1.23994,0.68625,1.15041,0.00705676,0.00705676,0.00705676
101,8500.87,1.27981,0.83588,1.16125,0.84503,0.81913,0.86415,0.61713,1.2407,0.68225,1.15197,0.00702703,0.00702703,0.00702703
102,8585.1,1.27634,0.82525,1.16852,0.85372,0.82436,0.87068,0.62303,1.23087,0.67478,1.15204,0.0069973,0.0069973,0.0069973
103,8669.44,1.26113,0.81515,1.15321,0.86535,0.82138,0.87439,0.62841,1.23013,0.67825,1.14793,0.00696757,0.00696757,0.00696757
